0.278	0.314	0.486	0
0.282	0.318	0.490	0
0.286	0.322	0.494	0
0.286	0.322	0.494	0
0.286	0.322	0.494	0
0.286	0.322	0.494	0
0.286	0.310	0.494	0
0.286	0.310	0.494	0
0.286	0.310	0.494	0
0.290	0.314	0.498	0
0.294	0.318	0.502	0
0.298	0.322	0.506	0
0.302	0.325	0.510	0
0.302	0.325	0.510	0
0.302	0.325	0.510	0
0.306	0.329	0.514	0
0.306	0.329	0.514	0
0.310	0.333	0.518	0
0.310	0.333	0.518	0
0.306	0.329	0.514	0
0.306	0.329	0.514	0
0.302	0.325	0.502	0
0.306	0.333	0.502	0
0.310	0.341	0.498	0
0.310	0.341	0.498	0
0.314	0.345	0.502	0
0.318	0.349	0.506	0
0.322	0.353	0.510	0
0.325	0.357	0.514	0
0.329	0.361	0.518	0
0.325	0.357	0.514	0
0.325	0.357	0.514	0
0.322	0.353	0.510	0
0.318	0.349	0.506	0
0.318	0.349	0.506	0
0.322	0.353	0.510	0
0.325	0.357	0.514	0
0.325	0.357	0.514	0
0.322	0.345	0.506	0
0.314	0.337	0.498	0
0.310	0.333	0.494	0
0.314	0.337	0.498	0
0.322	0.345	0.506	0
0.325	0.349	0.510	0
0.325	0.349	0.510	0
0.318	0.341	0.502	0
0.325	0.349	0.510	0
0.325	0.349	0.510	0
0.322	0.345	0.506	0
0.318	0.341	0.502	0
0.318	0.341	0.502	0
0.322	0.345	0.506	0
0.325	0.349	0.510	0
0.329	0.357	0.510	0
0.298	0.333	0.482	0
0.298	0.333	0.478	0
0.310	0.329	0.482	0
0.314	0.333	0.486	0
0.306	0.329	0.498	0
0.298	0.333	0.506	0
0.271	0.333	0.514	0
0.247	0.337	0.525	0
0.192	0.333	0.522	0
0.506	0.675	0.867	0
0.463	0.663	0.859	0
0.455	0.667	0.875	0
0.439	0.659	0.875	0
0.475	0.682	0.906	0
0.490	0.686	0.922	0
0.478	0.663	0.902	0
0.498	0.671	0.918	0
0.494	0.667	0.914	0
0.494	0.663	0.910	0
0.494	0.655	0.898	0
0.506	0.651	0.886	0
0.514	0.647	0.878	0
0.529	0.651	0.867	0
0.541	0.651	0.863	0
0.729	0.827	1.000	0
0.741	0.827	1.000	0
0.757	0.827	1.000	0
0.765	0.827	0.996	0
0.780	0.824	0.996	0
0.784	0.820	0.988	0
0.792	0.824	0.980	0
0.784	0.824	0.980	0
0.780	0.816	0.984	0
0.773	0.820	0.984	0
0.776	0.824	0.988	0
0.780	0.827	0.992	0
0.784	0.831	0.996	0
0.788	0.835	1.000	0
0.792	0.839	1.000	0
0.792	0.839	1.000	0
0.788	0.835	1.000	0
0.788	0.835	1.000	0
